"id","week","date","enjoy","difficulty"
"Anon1",1,"2025-02-03",0.9975880514,0.2492773729
"Anonymous ID",1,"2025-02-03",0.8879945286,0.3448021886
"Anonymous ID2",1,"2025-02-03",0.6604344245,0.7031156837
"Catling",1,"2025-02-03",0.962767207,0.4180695847
"Dasani",1,"2025-02-03",0.7337433444,0.09782421656
"Juaquín",1,"2025-02-03",0.7305665349,0.09705753184
"Jukun Zhang",1,"2025-02-03",1,0.5016835531
"Lolex",1,"2023-01-30",0.9610924341,0.355031828
"anon86_a",1,"2023-01-30",1,0.4180695847
"apricot_a",1,"2025-02-03",0.914134838,0.7252121914
"cervatillo silvestre",1,"2023-01-30",0.5136363636,0.5136363636
"charleshsueh",1,"2025-02-03",0.7946127946,0.1386083053
"dusty",1,"2023-01-30",0.3275391721,0.6670808289
"greentruck",1,"2025-02-03",0.4980534512,0.3116319444
"jz",1,"2025-02-03",0.1184062922,0.8703704275
"knf43",1,"2025-02-03",0.914134838,0.05199418958
"lingcat",1,"2023-01-30",0.9949845679,0.4806309624
"me",1,"2023-01-30",0.9997895623,0.00547138047
"mmmerlinski",1,"2025-02-03",1,0.2328424431
"notasuperhero",1,"2023-01-30",0.3950609749,0.3788278154
"pear",1,"2025-02-03",0.6604344245,0.00141547411
"sherlock_holmes",1,"2023-01-30",0.9465573158,0.1782009069
"spiderman",1,"2023-01-30",0.930228208,0.1230826858
"sunflower_a",1,"2023-01-30",0.8696689113,0.168084616
"syntaxisscary",1,"2023-01-30",0.4337822671,0
"Anon1",2,"2025-02-10",1,0.2955646287
"Anonymous ID",2,"2025-02-10",0.758486198275,0.3004699775525
"Anonymous ID2",2,"2025-02-10",0.7683080808,0.06176469721
"Catling",2,"2023-02-06",1,0.2659538089
"Dasani",2,"2025-02-10",0.7684667996,0.4034958828
"Juaquín",2,"2025-02-10",0.8436539306,0.2496706192
"Jukun Zhang",2,"2025-02-10",1,0.4941077955
"Lolex",2,"2023-02-06",0.471006417,0.6075570805
"anon86_a",2,"2025-02-10",0.9197530864,0.2082979326
"apricot_a",2,"2023-02-06",0.5078207202,0.5078207202
"cervatillo silvestre",2,"2023-02-06",0.5611111111,0.4212121212
"charleshsueh",2,"2025-02-10",0.9377104377,0.5401234568
"dusty",2,"2023-02-06",0.1871358784,0.6605128707
"greentruck",2,"2025-02-10",0.8964076529,0.1834666105
"jz",2,"2025-02-10",1,0.2492773729
"knf43",2,"2025-02-10",0.8486287937,0.563113046
"lingcat",2,"2025-02-10",0.9723157501,0.355031828
"me",2,"2023-02-06",0.9879524411,0.2330071549
"mmmerlinski",2,"2025-02-10",1,1
"notasuperhero",2,"2023-02-06",0.505637292,0.5333519795
"pear",2,"2025-02-10",0.6649769251,0.4446141227
"sherlock_holmes",2,"2023-02-06",0.9564566564,0.1953728844
"spiderman",2,"2023-02-06",0.9161990273,0.1324354729
"sunflower_a",2,"2025-02-10",0.7824542142,0.4772727273
